Matevz Jeras,1526.3553348833,73
Laura Terzic,0,10
Michelle Koch,1213.9028882978,58
Torsten Grünkorn,1551.1136714108,46
Sebastian Eckl,1238.9768541922,25
Jan Kovarik,0,11
Ivo Pilarski,0,13
Zvonko Stankovic,0,16
Thomas Hummel,0,17
Janick Erni,0,18
Vladimir Drabik,1736.9400981849,88
Jan Zavoral,0,17
Thomas Maurer,1513.6992511973,85
Cornelius Kniepert,1543.6199418801,50
Ivana Francikova,1608.4242916158,21
Mia Reimer,1313.7226029813,50
Matthias Töller,1394.6345050401,58
Stephen Lyall,1583.198356284,56
Dominique Wetter,1465.1676096925,119
Claudio Salzgeber,1538.7981215497,26
Sabine Brose,1342.6621035364,59
Christian Häuserer,0,5
Petra Rumpf,1481.5261730167,43
Jakub Horecny,1614.9055270915,37
Pia-susanne Merbach,1514.5964583412,86
Shpetim Mulaj,0,3
Oliver Schlancke,1549.9697893159,30
Raphael Holzer,1217.1920327427,63
Manuel Grgeta,0,6
Béla Gál,1653.9059664363,34
Golnoosh Chamani,1200,39
Ingo Aufderheide,0,18
Giuliano Bentivoglio,1606.2546247237,94
Thomas Wolf,0,15
Philipp Lukas,1481.9381107957,46
Asimenia Kiroglou,0,17
Manuel Ragonesi,1360.2043934582,23
Patrick Handschuh,1528.7090727182,31
Christian Frank,1246.6977981891,25
Robin Schwinn,1342.3109060967,34
Kai Hula,0,9
Robert Kickinger,1403.0809118043,139
Amon Lorenz,1279.688075934,37
Detlef Freitag,1741.0863454387,59
Stephan Peter,1360.7251317773,38
Peter Massatsch,1418.548517764,82
Kevin Kaufmann,1537.3729198769,107
Franz Schöringhumer,1371.5990869035,22
Viktoria Ackerl,1460.1622785898,40
Katrin Bauer,1231.9028741274,164
Raphael Ertl,0,8
Ayrton Ferreira,1674.467616976,40
Olivia Schwarz,1208.5462011993,20
Nora Breuer,0,2
Melissa Mosser,1493.5299735733,143
Joachim Stingeder,0,2
Dimitri Stingelin,1662.0234229437,68
Stanislav Georgiev,0,19
Ulrich Stoepel,0,18
Michal Melnyczok,1375.8484357728,21
Sandro Aeberhard,1761.2886817394,21
Thomas Brüstle,1337.3779035592,52
Andreas Becker,1528.5987445726,60
Gjevdet Maloku,1475.1365029215,33
Fabian Jöstl,1469.8139559437,72
Mario Kiss,0,10
Roman Groiss,1562.9074928228,74
Thomas Wagner,1585.3432428702,33
Walter Strassnigg,1284.0848486132,103
Manfred Redel,1348.4147895604,65
Samuel Fábera,0,15
Elias Schossleitner,1428.8695121936,33
Sandro Lenz,0,18
Victoria Lenk,1200,26
Radek Drda,1589.6506058825,46
René Decelak,0,9
Gonçalo Dos Santos,0,17
Sebastian Huber,0,18
Stefan Messner,1303.7243445822,75
David Potrbin,1450.8074921556,85
Hannes Wallimann,1852.4652753625,90
Gabriel Breuer,1200,109
Roland Prisi,1732.0355758879,70
Sandra Takac,0,4
David Madle,1374.8790007731,36
Nebojsa Kovacevic,1393.090162898,20
Markus Gälzer,0,2
Dominique Riesen,1614.7635117536,62
Herbert Gepperth,1350.5626683592,69
Astrid Franz,1347.7224362613,129
Pavel Romancik,0,19
Marcin Suchy,1428.9601657778,31
Mohammad Chamani,1200,57
Antal Virág,0,7
Mehmet Zeki,0,5
Hans-jakob Weitz,1430.409577059,31
Andreas Breuer,1573.1011565432,110
Seher Dogan,0,9
Jonas Schossleitner,1529.5134816358,32
Alexander Markin,1536.3050518363,27
Witold Terechowicz,1258.4948582589,63
Maura Porrmann,1544.6062651197,54
Michael Drexler,0,5
Leonardo Stamerra,0,17
Stephanie Steurer,0,3
Lukas Goll,1304.3704003141,27
Moritz Grohs,1261.6530489325,41
Cihan An,1802.9636741245,173
Mohamed Maikari,0,6
Melissa Dias,1462.9527834366,73
Jessica Bechtel,1420.5302643889,46
Thomas Frittum,0,6
Dori Gecse,1276.2246947089,32
Ludwig Rieger,0,11
Ludwig Gansch,1270.3387942463,142
Fiona Haas,1239.7744383769,34
Sophie Jobstmann,1641.6330205534,193
Stephan Pfleger,0,5
Luca Escribano,1212.1384284825,52
Szabina Smolnauer,1530.3321721328,55
Julian Penev,0,17
Oliver Gruenberger,1291.3529013456,42
Stefanie Posch,1374.0600598339,204
Wolfgang Tschida,1495.8954810162,55
Matej Vidergar,1513.824926307,65
Olivia Schwarz,0,6
Norbert Caviezel,0,7
Sarah Bangerl,1324.1237024166,117
Martin Muik,1604.1582916201,136
Aytac Polat,1205.057291075,27
Tamara Jedlicska,1303.1271717019,94
Evgenya Kovganko,1200,62
Petra Euler,0,12
Alexandr Velart,0,16
Roman Habitzl,1616.0212236102,134
Andreas Schauer,1225.6624000705,43
Michael Koppelmüller,1339.8691494134,103
Sarah Forsthuber,1216.6289526938,29
Michal Krumpoch,1403.9567830069,28
Marcel Dudek,1418.2332936537,27
Yann Stoiber,0,2
Patrick Leiner,1436.474639981,187
Alice Warr,1200,49
Christina Ciuban,1343.2749034133,76
Hussein Almadani,0,13
Gregor Micewski,0,9
Dina Mettler,1520.6524598872,48
Magda Silná,0,19
Patrick Staindl,0,1
Lukas Mayerhofer,1678.6753491628,94
Andreas Tkautz,1528.1440440916,39
Ales Brabenec,0,11
Jakub Routner,0,4
Helmut Ziesel,1200,30
Vincent Lucano,0,16
Regina Schüller,1369.3137490345,115
Timo Fornoff,0,14
Jenny Küng,1260.7488556024,49
Leo Breuer,0,2
Igor Babic,1484.9214919964,57
Tamas Horvath,1764.2662854808,20
